,FCLTY_NM,LCLAS_NM,ZIP_NO,FCLTY_ROAD_NM_ADDR,lat,lon,OPTN_DC,ADIT_DC,AREA
576,커피인더카툰,북카페,5019.0,서울특별시 광진구 동일로22길 64 2층,37.54147172,127.0676757,16000권 이상의 책들과 한끼식사가 가능한 음식들과 간식들과 따뜻한 베이커리와 음료가 함께 있는 공간,"화장실 남녀구분 : 구분, 카페 : 있음",서울
577,북카페그루터기,북카페,4905.0,서울특별시 광진구 동일로76가길 28 중곡제3동주민센터,37.56880629,127.0801374,-,"카페 : 있음, 리뷰여부 : 있음",서울
578,인덱스,일반서점,5071.0,서울특별시 광진구 아차산로 200 커먼그라운드 3F,37.54105424,127.0656675,건대 커먼그라운드 안에 있는 숍인숍 서점,카페 : 있음,서울
579,놀숲 건대점,만화방,5073.0,서울특별시 광진구 아차산로 224 3층 놀숲건대점,37.5405742,127.0680827,"일상에 즐거운 경험을 더하는 문화공간 카툰앤북카페, 편안한 좌석에서 맛있는 음식과 함께 책도 볼 수 있는 멀티 엔터테인먼트","화장실 남녀구분 : 구분, 카페 : 있음",서울
580,그랜드 워커힐 서울 라이브러리,북카페,4963.0,서울특별시 광진구 워커힐로 177 그랜드 워커힐 서울 2층,37.55523742,127.1110229,"3000여 권의 도서가 비치, 편안한 분위기 속에 책을 읽으며 힐링을 할 수 있는 공간, 무인운영","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음",서울
581,가린열북카페,카페,8337.0,서울특별시 구로구 개봉로17길 12,37.49177323,126.8551412,독서활동 장소,카페 : 있음,서울
582,꿈꾸는 달팽이,북카페,8268.0,서울특별시 구로구 경인로19길 48-8,37.49742718,126.8427177,독서활동 장소,"주차 : 가능, 카페 : 있음",서울
583,놀숲 고척점,만화방,8223.0,서울특별시 구로구 경인로47길 113 2층,37.50363856,126.8634877,"일상에 즐거운 경험을 더하는 문화공간 카툰앤북카페, 편안한 좌석에서 맛있는 음식과 함께 책도 볼 수 있는 멀티 엔터테인먼트","화장실 남녀구분 : 구분, 카페 : 있음",서울
584,인공위성,독립서점,8283.0,서울특별시 구로구 구로중앙로27가길 32 1층,37.497604,126.8864845,기부도서로 구성되는 질문서점,카페 : 있음,서울
585,곁애,북카페,8323.0,서울특별시 구로구 구일로10길 53 현대아파트,37.49605479,126.8744434,문학을 기반으로하는 예술공간,"주차 : 가능, 카페 : 있음",서울
