ANALS_TRGET_YEAR,ANALS_TRGET_MT,AREA_NM,AGE_FLAG_NM,SEXDSTN_FLAG_NM,LON_CO,LON_MBER_CO,READ_QY
2020,03,대구광역시,60대이상,남자,128,27,4.741
2020,03,대구광역시,60대이상,여자,86,20,4.3
2020,03,대전광역시,영유아(0-5),남자,214,31,6.903
2020,03,대전광역시,영유아(0-5),여자,113,23,4.913
2020,03,대전광역시,유아(6-7),남자,336,60,5.6
2020,03,대전광역시,유아(6-7),여자,414,65,6.369
2020,03,대전광역시,초등(8-13),남자,1940,367,5.286
2020,03,대전광역시,초등(8-13),여자,1726,366,4.716
2020,03,대전광역시,청소년(14-19),남자,373,128,2.914
2020,03,대전광역시,청소년(14-19),여자,691,185,3.735
2020,03,대전광역시,20대,남자,231,60,3.85
2020,03,대전광역시,20대,여자,553,157,3.522
2020,03,대전광역시,30대,남자,572,107,5.346
2020,03,대전광역시,30대,여자,2052,443,4.632
2020,03,대전광역시,40대,남자,1936,411,4.71
2020,03,대전광역시,40대,여자,4051,891,4.547
2020,03,대전광역시,50대,남자,415,107,3.879
2020,03,대전광역시,50대,여자,734,189,3.884
2020,03,대전광역시,60대이상,남자,220,55,4
2020,03,대전광역시,60대이상,여자,426,70,6.086
2020,03,부산광역시,영유아(0-5),남자,1134,98,11.571
2020,03,부산광역시,영유아(0-5),여자,300,57,5.263
2020,03,부산광역시,유아(6-7),남자,825,126,6.548
2020,03,부산광역시,유아(6-7),여자,925,146,6.336
2020,03,부산광역시,초등(8-13),남자,3984,692,5.757
2020,03,부산광역시,초등(8-13),여자,3893,701,5.553
2020,03,부산광역시,청소년(14-19),남자,756,238,3.176
2020,03,부산광역시,청소년(14-19),여자,1516,473,3.205
2020,03,부산광역시,20대,남자,806,246,3.276
2020,03,부산광역시,20대,여자,2061,672,3.067
2020,03,부산광역시,30대,남자,1996,362,5.514
2020,03,부산광역시,30대,여자,5715,1312,4.356
2020,03,부산광역시,40대,남자,4798,1042,4.605
2020,03,부산광역시,40대,여자,10920,2421,4.511
2020,03,부산광역시,50대,남자,1438,393,3.659
