,LBRRY_NM,LBRRY_ADDR,lat,lon,ONE_AREA_NM,TWO_AREA_NM,LBRRY_TY_NM
194,민들레홀씨작은도서관,경기도 부천시 상동로117번길 48,37.50819,126.75087,경기도,부천시,작은
195,시온고등학교 열린작은도서관,경기도 부천시 은성로 172-20,37.4715246,126.805999,경기도,부천시,작은
196,글마루작은도서관,경기도 부천시 경인옛로38번길 41,37.4789141,126.796399,경기도,부천시,작은
197,무지개작은도서관,"경기도 부천시 부일로 563, 2층",37.4846299,126.792729,경기도,부천시,작은
198,진말책향기작은도서관,경기도 부천시 장말로351번길 9,37.4909759,126.780646,경기도,부천시,작은
199,부천시립송내도서관,경기도 부천시 경인로92번길 33,37.4849885,126.771038,경기도,부천시,공공
200,강남구립도곡정보문화도서관,서울특별시 강남구 도곡로18길 57,37.4881818,127.038923,서울특별시,강남구,공공
201,강남구립논현도서관,서울특별시 강남구 학동로43길 17,37.5173333,127.0372,서울특별시,강남구,공공
202,대치1동작은도서관,서울특별시 강남구 남부순환로391길 19,37.4932557,127.056776,서울특별시,강남구,작은
203,강남구립대치도서관,"서울특별시 강남구 삼성로 212, 은마아파트 복지상가 2층 215호",37.4953832,127.063706,서울특별시,강남구,공공
204,강남구립행복한도서관,"서울특별시 강남구 영동대로65길 24, 대치2문화센터 3층",37.5022554,127.06415,서울특별시,강남구,공공
205,도곡2동작은도서관,서울특별시 강남구 남부순환로378길 34-9,37.483649,127.046369,서울특별시,강남구,작은
206,세곡도서관,서울특별시 강남구 밤고개로 286,37.469047,127.106916,서울특별시,강남구,작은
207,개포4동작은도서관,서울특별시 강남구 개포로38길 12,37.4787976,127.051507,서울특별시,강남구,작은
208,일원본동작은도서관,서울특별시 강남구 광평로 126,37.4833525,127.086445,서울특별시,강남구,작은
209,강남구립청담도서관,서울특별시 강남구 압구정로79길 26,37.5250583,127.0493,서울특별시,강남구,공공
210,논현정보도서관,서울특별시 강남구 학동로 169,37.517466,127.040487,서울특별시,강남구,작은
211,강남구립즐거운도서관,"서울특별시 강남구 도곡로77길 23, 4층",37.4997257,127.057818,서울특별시,강남구,공공
212,강남구립정다운도서관,서울특별시 강남구 학동로67길 11,37.5190642,127.046371,서울특별시,강남구,공공
213,미추홀도서관,인천광역시 남동구 인주대로776번길 53,37.4469986,126.7248424,인천광역시,남동구,공공
214,강남구립역삼도서관,서울특별시 강남구 역삼로7길 16,37.4952602,127.033191,서울특별시,강남구,공공
215,강남구립열린도서관,"서울특별시 강남구 일원로 115, 삼성생명빌딩 B동 203호",37.483932,127.084402,서울특별시,강남구,공공
216,강남구립역삼푸른솔도서관,서울특별시 강남구 테헤란로8길 36,37.4964736,127.031856,서울특별시,강남구,공공
217,삼성도서관,서울특별시 강남구 봉은사로 616,37.514345,127.062646,서울특별시,강남구,작은
218,역삼2동작은도서관,"서울특별시 강남구 언주로 314, 2층",37.4958791,127.046416,서울특별시,강남구,작은
219,신사동작은도서관,서울특별시 강남구 압구정로 128,37.5240101,127.022781,서울특별시,강남구,작은
220,압구정동문고,서울특별시 강남구 압구정로33길 48,37.530642,127.030713,서울특별시,강남구,작은
221,일원2동문고,서울특별시 강남구 개포로 607,37.4922791,127.074474,서울특별시,강남구,작은
222,수서동작은도서관,서울특별시 강남구 광평로 301-4,37.4888635,127.104844,서울특별시,강남구,작은
223,일원1동작은도서관,서울특별시 강남구 양재대로55길 14,37.491839,127.087962,서울특별시,강남구,작은
224,안성시립중앙도서관,경기도 안성시 안성맞춤대로 1150,37.0152864,127.2686,경기도,안성시,공공
225,안성시립보개도서관,경기도 안성시 보개면 종합운동장로 205,37.0150259,127.322491,경기도,안성시,공공
226,안성시립일죽도서관,"경기도 안성시 일죽면 금일로 433, 4층",37.0942077,127.475151,경기도,안성시,공공
227,안성송정작은도서관,"경기도 안성시 공도읍 양기길 46, 송정아파트 관리사무소 2층",37.00451,127.20054,경기도,안성시,작은
228,안성부영작은도서관,"경기도 안성시 공도읍 만수로 31, 부영아파트 관리사무소 2층",37.0081396,127.183659,경기도,안성시,작은
229,안성죽산작은도서관,경기도 안성시 죽산면 중부길 41,37.0770255,127.423944,경기도,안성시,작은
230,안성풍림작은도서관,"경기도 안성시 공도읍 서동대로 4081, 주은풍림아파트 상가동",36.9989,127.159,경기도,안성시,작은
231,안성태산작은도서관,"경기도 안성시 공도읍 벚꽃길 36, 태산아파트 관리사무소 3층",37.0009401,127.153541,경기도,안성시,작은
232,안성삼죽작은도서관,경기도 안성시 삼죽면 삼죽로 112,37.0725486,127.374635,경기도,안성시,작은
233,안성시립공도도서관,경기도 안성시 공도읍 공도5로 26,37.0033824,127.172642,경기도,안성시,공공
234,안성시립진사도서관,경기도 안성시 공도읍 진사2길 70,36.9941373,127.144458,경기도,안성시,공공
235,천안시중앙도서관,충청남도 천안시 동남구 중앙로 118,36.8091134,127.1534079,충청남도,천안시 동남구,공공
236,천안시아우내도서관,충청남도 천안시 동남구 병천면 병천2로 57,36.7669174,127.303245,충청남도,천안시 동남구,공공
237,천안시성거도서관,충청남도 천안시 서북구 성거읍 천흥3길 3,36.8714745,127.200706,충청남도,천안시 서북구,공공
238,천안시두정도서관,충청남도 천안시 서북구 부성3길 9,36.8344397,127.134763,충청남도,천안시 서북구,공공
